TRACK,LABEL,METHOD,CURVE
12,feature.Area.og1.CWHvm_HW_FDC_H,,99
12,feature.Area.og1.total,,99
12,feature.Area.og2.CWHvm_HW_FDC_H,,1
12,feature.Area.og2.total,,1
12,feature.Area.unmanaged,,2
12,feature.Height.unmanaged.CWHvm_HW_FDC_H,,100
12,feature.QMD.unmanaged.CWHvm_HW_FDC_H,,101
12,feature.Seral.CWHvm_HW_FDC_H.immature,,5
12,feature.Seral.CWHvm_HW_FDC_H.mature,,6
12,feature.Seral.CWHvm_HW_FDC_H.overmature,,7
12,feature.Seral.CWHvm_HW_FDC_H.regenerating,,8
12,feature.Seral.CWHvm_HW_FDC_H.young,,9
12,feature.Seral.immature,,5
12,feature.Seral.mature,,6
12,feature.Seral.overmature,,7
12,feature.Seral.regenerating,,8
12,feature.Seral.young,,9
12,feature.StemsPerHa.unmanaged.CWHvm_HW_FDC_H,,102
12,feature.Yield.unmanaged.Total,,103
13,feature.Area.managed,,2
13,feature.Area.og1.CWHvm_HW_FDC_H,,99
13,feature.Area.og1.total,,99
13,feature.Area.og2.CWHvm_HW_FDC_H,,1
13,feature.Area.og2.total,,1
13,feature.BasalArea000.managed.CWHvm_HW_FDC_H,,104
13,feature.DBHg000.managed.CWHvm_HW_FDC_H,,105
13,feature.Height.managed.CWHvm_HW_FDC_H,,106
13,feature.MAI.managed.CWHvm_HW_FDC_H,,107
13,feature.QMD.managed.CWHvm_HW_FDC_H,,105
13,feature.SPH000.managed.CWHvm_HW_FDC_H,,108
13,feature.Seral.CWHvm_HW_FDC_H.immature,,5
13,feature.Seral.CWHvm_HW_FDC_H.mature,,6
13,feature.Seral.CWHvm_HW_FDC_H.overmature,,7
13,feature.Seral.CWHvm_HW_FDC_H.regenerating,,8
13,feature.Seral.CWHvm_HW_FDC_H.young,,9
13,feature.Seral.immature,,5
13,feature.Seral.mature,,6
13,feature.Seral.overmature,,7
13,feature.Seral.regenerating,,8
13,feature.Seral.young,,9
13,feature.StemCount000.managed.CWHvm_HW_FDC_H,,108
13,feature.StemCount125.managed.CWHvm_HW_FDC_H,,109
13,feature.StemCount175.managed.CWHvm_HW_FDC_H,,110
13,feature.StemsPerHa.managed.CWHvm_HW_FDC_H,,90
13,feature.Yield.managed.Total,,111
14,feature.Area.managed,,2
14,feature.Area.og1.CWHvm_HW_FDC_H,,99
14,feature.Area.og1.total,,99
14,feature.Area.og2.CWHvm_HW_FDC_H,,1
14,feature.Area.og2.total,,1
14,feature.Height.managed.CWHvm_HW_FDC_H,,106
14,feature.QMD.managed.CWHvm_HW_FDC_H,,105
14,feature.StemsPerHa.managed.CWHvm_HW_FDC_H,,115
14,feature.Yield.managed.Total,,111
15,feature.Area.managed,,2
15,feature.Area.og1.CWHvm_HW_FDC_H,,99
15,feature.Area.og1.total,,99
15,feature.Area.og2.CWHvm_HW_FDC_H,,1
15,feature.Area.og2.total,,1
15,feature.Height.managed.CWHvm_HW_FDC_H,,106
15,feature.QMD.managed.CWHvm_HW_FDC_H,,118
15,feature.StemsPerHa.managed.CWHvm_HW_FDC_H,,119
15,feature.Yield.managed.Total,,120
16,feature.Area.managed,,2
16,feature.Area.og1.CWHvm_HW_FDC_H,,99
16,feature.Area.og1.total,,99
16,feature.Area.og2.CWHvm_HW_FDC_H,,1
16,feature.Area.og2.total,,1
16,feature.Height.managed.CWHvm_HW_FDC_H,,106
16,feature.QMD.managed.CWHvm_HW_FDC_H,,124
16,feature.StemsPerHa.managed.CWHvm_HW_FDC_H,,119
16,feature.Yield.managed.Total,,125
17,feature.Area.managed,,2
17,feature.Area.og1.CWHvm_HW_FDC_H,,99
17,feature.Area.og1.total,,99
17,feature.Area.og2.CWHvm_HW_FDC_H,,1
17,feature.Area.og2.total,,1
17,feature.Height.managed.CWHvm_HW_FDC_H,,106
17,feature.QMD.managed.CWHvm_HW_FDC_H,,129
17,feature.StemsPerHa.managed.CWHvm_HW_FDC_H,,119
17,feature.Yield.managed.Total,,130
18,feature.Area.managed,,2
18,feature.Area.og1.CWHvm_HW_FDC_H,,99
18,feature.Area.og1.total,,99
18,feature.Area.og2.CWHvm_HW_FDC_H,,1
18,feature.Area.og2.total,,1
18,feature.Height.managed.CWHvm_HW_FDC_H,,106
18,feature.QMD.managed.CWHvm_HW_FDC_H,,133
18,feature.StemsPerHa.managed.CWHvm_HW_FDC_H,,119
18,feature.Yield.managed.Total,,134
