CURVE,X,Y
611,89,0
611,90,0.0024
178,89,0
178,90,0.00234
174,89,0
174,90,0.00214
612,89,0
612,90,0.01
605,89,0
605,90,0.0098
753,89,0
753,90,0.01643
752,89,0
752,90,0.02602
608,89,0
608,90,0.036
341,89,0
341,90,0.0161
179,89,0
179,90,0.00974
340,89,0
340,90,0.14699
175,89,0
175,90,0.09743
754,89,0
754,90,0.37532
606,89,0
606,90,0.3656
343,89,0
343,90,0.24498
744,89,0
744,90,0.5
744,100,0.5
744,110,0.6
744,120,0.6
744,130,0.7
744,150,0.7
744,160,0.8
755,89,0
755,90,0.57815
609,89,0
609,90,0.572
342,89,0
342,90,0.58794
330,89,0
330,90,0.4
330,110,0.6
330,120,0.6
330,130,0.7
330,150,0.7
330,160,0.8
749,89,0
749,90,0.7
749,110,0.9
749,120,0.9
749,140,1.1
749,150,1.1
749,160,1.2
335,89,0
335,90,0.7
335,100,0.8
335,110,0.8
335,130,1
335,140,1
335,150,1.1
176,89,0
176,90,0.682
173,89,0
173,90,0.19486
172,89,0
172,90,0.00955
164,89,0
164,90,0.9
164,100,1.1
164,130,1.4
164,140,1.4
164,160,1.6
164,170,1.6
164,190,1.8
164,210,1.8
164,220,1.9
602,89,0
602,90,1.2
602,110,1.4
602,120,1.6
602,150,1.9
602,160,1.9
602,190,2.2
602,200,2.2
602,210,2.3
598,89,0
598,90,1.1
598,170,1.9
598,180,1.9
598,190,2
598,200,2
598,210,2.1
165,89,0
165,90,1.1
165,100,1.3
165,170,2
165,180,2
165,200,2.2
165,210,2.2
165,220,2.3
180,89,0
180,90,1
601,89,0
601,90,1
601,150,1.6
601,160,1.6
601,170,1.7
601,180,1.7
601,190,1.8
601,200,1.8
601,210,1.9
169,89,0
169,90,1
169,110,1
169,111,0
161,89,0
161,90,1
161,100,1.2
161,150,1.7
161,160,1.7
161,180,1.9
161,190,1.9
161,200,2
161,210,2
161,220,2.1
604,89,0
604,90,4.9
604,100,5.4
604,110,6
604,130,7
604,150,7.8
604,190,9
604,220,9.6
596,89,0
596,90,4.8
596,100,5.3
596,110,5.9
596,120,6.4
596,150,7.6
596,160,7.9
596,170,8.3
596,180,8.5
596,190,8.8
596,220,9.4
746,89,0
746,90,7.3
746,100,8.3
746,110,9.1
746,120,10
746,140,11.4
746,160,12.6
745,89,0
745,90,11.6
745,100,13.1
745,110,14.5
745,120,15.8
745,130,17
745,140,18.1
745,160,19.9
599,89,0
599,90,17.5
599,100,19.6
599,110,21.6
599,120,23.4
599,130,25.1
599,140,26.6
599,160,29.2
599,180,31.4
599,190,32.4
599,210,34
599,220,34.7
332,89,0
332,90,7.2
332,110,9
332,120,9.8
332,140,11.2
332,150,11.8
332,160,12.3
167,89,0
167,90,4.7
167,100,5.3
167,130,6.8
167,150,7.6
167,190,8.8
167,220,9.4
331,89,0
331,90,65.3
331,100,73.9
331,110,81.8
331,120,89
331,130,95.9
331,140,102
331,150,107.6
331,160,112.6
162,89,0
162,90,47.3
162,100,53
162,110,58.3
162,120,63.4
162,130,67.9
162,140,71.9
162,150,75.6
162,160,79
162,170,82.1
162,180,84.9
162,190,87.6
162,200,89.9
162,210,92
162,220,93.8
747,89,0
747,90,166.7
747,100,188.6
747,110,208.8
747,120,227.4
747,130,244.8
747,140,260.5
747,150,274.7
747,160,287.6
748,89,0
748,90,256.7
748,100,290.5
748,110,321.4
748,120,350.2
748,130,377.1
748,140,401.2
748,150,423.4
748,160,443.1
597,89,0
597,90,177.5
597,100,198.9
597,110,218.9
597,120,237.7
597,130,254.8
597,140,270
597,150,283.7
597,160,296.6
597,170,308.1
597,180,318.7
597,190,328.6
597,200,337.2
597,210,345.1
597,220,352.1
334,89,0
334,90,108.8
334,100,123.1
334,110,136.3
334,120,148.4
334,130,159.8
334,140,170
334,150,179.3
334,160,187.7
600,89,0
600,90,277.4
600,100,311.2
600,110,342.5
600,120,372
600,130,398.5
600,140,422.3
600,150,443.8
600,160,464.1
600,170,482.1
600,180,498.7
600,190,513.9
600,200,527.7
600,210,539.8
600,220,551.1
333,89,0
333,90,261.1
333,100,295.4
333,110,326.9
333,120,356.2
333,130,383.4
333,140,408.2
333,150,430.4
333,160,450.8
750,89,0
750,90,444.2
750,100,502.6
750,110,556.2
750,120,605.8
750,130,652.3
750,140,694.1
750,150,732
750,160,766.4
603,89,0
603,90,485.4
603,100,544
603,110,598.8
603,120,650.3
603,130,696.8
603,140,738.4
603,150,776
603,160,811.2
603,170,842.8
603,180,871.7
603,190,898.7
603,200,922.3
603,210,943.8
603,220,963.2
336,89,0
336,90,444.2
336,100,502.6
336,110,556.2
336,120,605.8
336,130,652.3
336,140,694.1
336,150,732
336,160,766.4
338,89,0
338,160,0
338,161,1
171,89,0
171,200,0
171,201,1
337,89,0
337,110,0
337,111,1
337,160,1
337,161,0
170,89,0
170,110,0
170,111,1
170,200,1
170,201,0
166,89,0
166,90,485.4
166,100,544
166,110,598.8
166,120,650.3
166,130,696.8
166,140,738.4
166,150,776
166,160,811.2
166,170,842.8
166,180,871.7
166,190,898.7
166,200,922.3
166,210,943.8
166,220,963.2
163,89,0
163,90,331.2
163,100,370.9
163,110,408.4
163,120,443.5
163,130,475.1
163,140,503.6
163,150,529.2
163,160,553.3
163,170,574.9
163,180,594.5
163,190,612.8
163,200,628.9
163,210,643.7
163,220,656.8
160,89,0
160,90,94.6
160,100,106
160,110,116.7
160,120,126.7
160,130,135.8
160,140,143.9
160,150,151.2
160,160,158.1
160,170,164.2
160,180,169.9
160,190,175.1
160,200,179.7
160,210,183.9
160,220,187.7
