BLOCK1,BLOCK2,DISTANCE,LENGTH
-9999,203,0.000,543.121
-9999,204,0.000,368.305
-9999,205,0.000,1323.431
-9999,206,0.000,654.390
-9999,207,0.000,1107.593
-9999,208,0.000,797.140
-9999,209,0.000,287.632
-9999,210,0.000,674.960
-9999,211,0.000,1345.041
-9999,212,0.000,447.523
-9999,213,0.000,357.594
-9999,214,0.000,1034.487
-9999,215,0.000,1230.941
-9999,216,0.000,284.167
-9999,217,0.000,289.287
-9999,218,0.000,206.472
1,21,51.503,0.000
1,101,194.544,0.000
1,102,0.000,106.838
1,133,0.000,53.363
1,212,0.000,928.000
2,54,101.743,0.000
2,97,0.000,37.393
2,114,0.000,554.627
2,148,0.000,97.943
2,167,0.000,185.894
2,175,107.180,0.000
2,180,0.000,53.394
2,208,0.000,317.651
3,12,66.405,0.000
3,26,0.000,214.787
3,28,130.969,0.000
3,57,0.000,136.309
3,91,46.002,0.000
3,151,67.461,0.000
3,188,107.195,0.000
3,191,0.000,215.120
3,198,88.892,0.000
4,109,95.373,0.000
4,110,0.000,550.446
4,162,0.000,477.323
5,115,170.842,0.000
5,144,0.000,330.215
5,190,0.000,433.110
5,195,0.000,58.673
6,23,165.412,0.000
6,33,90.244,0.000
6,53,155.781,0.000
6,58,140.876,0.000
6,131,0.000,172.340
6,155,0.000,156.581
6,197,0.000,107.330
6,210,87.496,0.000
6,218,0.000,448.497
7,14,0.000,693.956
7,101,0.000,424.300
7,112,49.718,0.000
7,134,0.000,207.110
7,137,0.000,386.551
7,193,0.000,1192.884
8,24,137.099,0.000
8,55,0.000,456.150
8,60,0.000,99.835
8,65,121.638,0.000
8,75,115.908,0.000
8,82,169.208,0.000
8,142,94.863,0.000
8,143,165.378,0.000
8,174,0.000,73.056
8,215,0.000,1075.929
9,25,0.000,378.598
9,84,149.085,0.000
9,128,0.000,15.740
9,133,103.720,0.000
9,178,0.000,66.294
9,207,0.000,97.901
10,179,198.067,0.000
10,214,0.000,109.461
11,35,0.000,129.469
11,109,0.000,61.791
11,169,0.000,494.108
11,184,26.028,0.000
11,196,0.000,99.140
12,26,88.347,0.000
12,57,181.660,0.000
12,91,136.072,0.000
12,188,56.680,0.000
12,191,0.000,438.984
12,198,0.000,303.625
13,40,0.000,223.145
13,46,0.000,185.961
13,116,137.109,0.000
13,164,167.772,0.000
14,43,112.245,0.000
14,56,0.000,107.155
14,101,0.000,468.016
14,102,134.630,0.000
14,108,0.000,980.571
14,127,0.000,55.634
14,134,0.000,544.833
14,140,0.000,776.905
15,92,0.000,150.812
15,161,196.449,0.000
15,170,0.000,154.598
16,40,134.112,0.000
16,61,157.274,0.000
16,103,52.613,0.000
16,116,81.383,0.000
16,164,81.384,0.000
16,205,100.522,0.000
17,62,165.477,0.000
17,63,131.309,0.000
17,67,0.000,110.458
17,72,0.000,211.085
17,126,0.000,125.640
17,141,0.000,200.920
17,187,0.000,77.812
17,203,144.304,0.000
17,209,95.421,0.000
18,38,94.853,0.000
18,52,33.180,0.000
18,59,0.000,196.647
18,82,176.562,0.000
18,115,0.000,105.224
18,124,0.000,46.637
18,194,47.749,0.000
18,195,0.000,63.156
19,48,0.000,385.758
19,80,79.655,0.000
19,111,84.363,0.000
19,122,113.784,0.000
19,132,164.628,0.000
19,154,22.073,0.000
19,211,0.000,26.664
20,26,194.851,0.000
20,28,67.791,0.000
20,36,0.000,214.697
20,41,120.876,0.000
20,74,0.000,257.228
20,120,153.152,0.000
20,152,0.000,424.470
20,181,140.592,0.000
20,189,0.000,734.208
20,191,0.000,207.379
21,128,82.266,0.000
21,133,0.000,90.931
21,178,115.781,0.000
22,44,12.191,0.000
22,85,65.663,0.000
22,196,171.216,0.000
23,34,0.000,180.990
23,58,121.234,0.000
23,79,183.747,0.000
23,98,188.886,0.000
23,155,0.000,579.408
23,159,38.687,0.000
23,161,42.352,0.000
23,176,122.955,0.000
23,197,0.000,1074.731
23,218,65.065,0.000
24,65,0.000,29.279
24,100,0.000,254.872
24,143,0.000,473.124
24,158,21.476,0.000
24,215,0.000,391.961
25,84,164.286,0.000
25,128,0.000,292.030
25,133,32.726,0.000
25,178,15.211,0.000
25,207,40.040,0.000
26,28,0.000,415.103
26,36,0.000,148.203
26,57,0.000,146.714
26,91,130.861,0.000
26,151,108.538,0.000
26,189,170.240,0.000
26,191,0.000,674.052
26,198,165.581,0.000
27,81,0.000,257.809
27,89,0.000,390.312
27,111,0.000,172.041
27,113,69.028,0.000
27,154,176.767,0.000
27,173,94.544,0.000
27,206,69.338,0.000
28,36,0.000,171.838
28,57,197.918,0.000
28,189,0.000,231.160
28,191,45.114,0.000
29,68,26.212,0.000
29,105,0.000,210.019
29,146,0.000,148.516
30,32,0.000,24.084
30,48,38.882,0.000
30,111,182.647,0.000
30,154,0.000,949.358
30,173,190.772,0.000
30,211,194.904,0.000
31,100,47.866,0.000
31,117,0.000,156.926
31,156,90.707,0.000
31,157,0.000,59.112
31,158,92.840,0.000
31,171,0.000,496.570
32,154,0.000,296.122
33,53,52.030,0.000
33,131,0.000,43.946
33,153,168.484,0.000
33,159,97.106,0.000
33,165,30.118,0.000
33,197,165.567,0.000
33,210,0.000,659.456
33,218,0.000,337.541
34,58,135.914,0.000
34,98,0.000,311.000
34,155,65.855,0.000
34,161,0.000,338.337
34,197,81.842,0.000
35,85,167.224,0.000
35,109,0.000,480.171
35,169,35.576,0.000
35,184,56.883,0.000
35,196,19.293,0.000
36,189,0.000,160.343
36,191,0.000,230.275
37,71,126.529,0.000
37,130,0.000,418.427
37,170,50.306,0.000
37,176,192.723,0.000
37,182,0.000,114.117
37,199,0.000,406.785
38,195,70.801,0.000
39,93,179.160,0.000
39,106,0.000,452.665
39,144,21.894,0.000
39,201,0.000,54.359
40,46,0.000,160.706
40,103,24.701,0.000
40,116,0.000,215.015
40,164,17.122,0.000
41,74,0.000,208.320
41,120,0.000,739.143
41,152,0.000,243.554
41,181,102.769,0.000
42,61,0.000,440.159
42,73,0.000,40.900
42,76,0.000,305.706
42,153,25.332,0.000
42,200,115.046,0.000
43,101,0.000,311.761
43,102,0.000,231.332
44,85,28.188,0.000
45,118,148.671,0.000
45,145,0.000,515.694
45,150,118.590,0.000
45,168,187.331,0.000
45,172,38.576,0.000
45,200,0.000,31.033
45,216,186.716,0.000
46,103,102.634,0.000
46,116,100.224,0.000
46,164,165.095,0.000
47,51,0.000,47.687
47,86,70.310,0.000
47,107,174.229,0.000
47,129,0.000,542.939
47,206,150.186,0.000
48,80,23.402,0.000
48,89,36.512,0.000
48,111,0.000,857.491
48,122,87.942,0.000
48,132,174.683,0.000
48,154,0.000,1213.421
48,173,0.000,33.677
48,211,35.900,0.000
49,57,171.756,0.000
49,91,26.507,0.000
49,96,177.336,0.000
49,138,96.223,0.000
49,139,47.100,0.000
49,188,0.000,1734.533
50,103,193.074,0.000
50,150,0.000,145.394
50,172,110.348,0.000
50,200,51.105,0.000
50,205,0.000,329.766
50,209,108.421,0.000
50,216,0.000,52.497
51,64,199.484,0.000
51,99,99.560,0.000
51,107,185.845,0.000
51,118,197.540,0.000
51,129,0.000,858.736
51,132,186.334,0.000
51,168,30.370,0.000
51,177,0.000,419.707
52,59,83.531,0.000
52,65,0.000,76.426
52,82,167.861,0.000
52,94,106.697,0.000
52,115,92.882,0.000
52,124,144.384,0.000
52,156,0.000,36.497
53,70,145.904,0.000
53,83,118.957,0.000
53,131,60.995,0.000
53,153,0.000,106.399
53,165,27.553,0.000
53,168,0.000,13.594
53,177,83.508,0.000
53,210,0.000,186.805
53,218,100.563,0.000
54,123,0.000,303.536
54,148,41.842,0.000
54,208,0.000,102.757
55,60,0.000,514.662
55,75,0.000,267.661
55,82,48.810,0.000
55,174,0.000,523.369
55,215,116.166,0.000
56,108,52.576,0.000
56,127,0.000,341.501
56,140,108.406,0.000
57,91,0.000,631.005
57,96,61.161,0.000
57,139,43.740,0.000
57,151,0.000,458.191
57,188,0.000,151.148
57,191,0.000,48.727
57,198,132.966,0.000
58,98,189.637,0.000
58,155,0.000,386.730
58,197,53.384,0.000
58,218,132.161,0.000
59,94,0.000,42.455
59,115,103.078,0.000
59,124,0.000,271.164
60,75,34.799,0.000
60,142,160.959,0.000
61,73,62.154,0.000
61,76,61.620,0.000
61,116,108.176,0.000
61,153,108.351,0.000
61,164,0.000,124.221
62,63,21.947,0.000
62,67,18.107,0.000
62,72,35.425,0.000
62,107,0.000,101.190
62,118,138.167,0.000
62,172,195.463,0.000
62,187,141.174,0.000
63,67,0.000,12.610
63,72,104.410,0.000
63,107,138.656,0.000
63,113,41.985,0.000
63,187,0.000,161.659
64,99,134.436,0.000
64,155,31.587,0.000
64,177,171.541,0.000
65,94,162.899,0.000
65,143,0.000,499.147
65,156,0.000,287.637
65,158,20.514,0.000
65,215,0.000,51.194
66,77,48.765,0.000
66,90,113.545,0.000
66,109,80.116,0.000
66,169,84.909,0.000
66,184,0.000,494.433
66,192,0.000,409.659
67,72,0.000,45.658
67,107,198.876,0.000
67,126,158.782,0.000
67,141,81.085,0.000
67,187,0.000,336.979
68,95,0.000,364.921
68,105,0.000,967.535
68,120,0.000,650.109
68,146,110.332,0.000
69,96,112.306,0.000
69,108,0.000,787.820
69,166,0.000,134.963
69,183,0.000,480.122
