CURVE,X,Y
379,140,200.9
378,79,0
378,80,0.6
378,100,0.8
378,110,0.8
378,130,1
152,89,0
704,89,0
704,90,0.00102
709,89,0
709,90,0.00153
310,89,0
310,90,0.0015
305,89,0
305,90,0.001
562,89,0
562,90,0.002
161,89,0
161,90,0.00195
559,89,0
559,90,0.0022
563,89,0
563,90,0.0024
162,89,0
162,90,0.00234
158,89,0
158,90,0.00214
564,89,0
564,90,0.01
557,89,0
557,90,0.0098
706,89,0
706,90,0.01643
705,89,0
705,90,0.02602
560,89,0
560,90,0.036
307,89,0
307,90,0.0161
163,89,0
163,90,0.00974
306,89,0
306,90,0.14699
159,89,0
159,90,0.09743
707,89,0
707,90,0.37532
558,89,0
558,90,0.3656
309,89,0
309,90,0.24498
697,89,0
697,90,0.5
697,100,0.5
697,110,0.6
697,120,0.6
697,130,0.7
697,150,0.7
697,160,0.8
708,89,0
708,90,0.57815
561,89,0
561,90,0.572
308,89,0
308,90,0.58794
296,89,0
296,90,0.4
296,110,0.6
296,120,0.6
296,130,0.7
296,150,0.7
296,160,0.8
702,89,0
702,90,0.7
702,110,0.9
702,120,0.9
702,140,1.1
702,150,1.1
702,160,1.2
301,89,0
301,90,0.7
301,100,0.8
301,110,0.8
301,130,1
301,140,1
301,150,1.1
160,89,0
160,90,0.682
157,89,0
157,90,0.19486
156,89,0
156,90,0.00955
148,89,0
148,90,0.9
148,100,1.1
148,130,1.4
148,140,1.4
148,160,1.6
148,170,1.6
148,190,1.8
148,210,1.8
148,220,1.9
554,89,0
554,90,1.2
554,110,1.4
554,120,1.6
554,150,1.9
554,160,1.9
554,190,2.2
554,200,2.2
554,210,2.3
550,89,0
550,90,1.1
550,170,1.9
550,180,1.9
550,190,2
550,200,2
550,210,2.1
149,89,0
149,90,1.1
149,100,1.3
149,170,2
149,180,2
149,200,2.2
149,210,2.2
149,220,2.3
164,89,0
164,90,1
553,89,0
553,90,1
553,150,1.6
553,160,1.6
553,170,1.7
553,180,1.7
553,190,1.8
553,200,1.8
553,210,1.9
153,89,0
153,90,1
153,110,1
153,111,0
145,89,0
145,90,1
145,100,1.2
145,150,1.7
145,160,1.7
145,180,1.9
145,190,1.9
145,200,2
145,210,2
145,220,2.1
556,89,0
556,90,4.9
556,100,5.4
556,110,6
556,130,7
556,150,7.8
556,190,9
556,220,9.6
548,89,0
548,90,4.8
548,100,5.3
548,110,5.9
548,120,6.4
548,150,7.6
548,160,7.9
548,170,8.3
548,180,8.5
548,190,8.8
548,220,9.4
699,89,0
699,90,7.3
699,100,8.3
699,110,9.1
699,120,10
699,140,11.4
699,160,12.6
698,89,0
698,90,11.6
698,100,13.1
698,110,14.5
698,120,15.8
698,130,17
698,140,18.1
698,160,19.9
551,89,0
551,90,17.5
551,100,19.6
551,110,21.6
551,120,23.4
551,130,25.1
551,140,26.6
551,160,29.2
551,180,31.4
551,190,32.4
551,210,34
551,220,34.7
298,89,0
298,90,7.2
298,110,9
298,120,9.8
298,140,11.2
298,150,11.8
298,160,12.3
151,89,0
151,90,4.7
151,100,5.3
151,130,6.8
151,150,7.6
151,190,8.8
151,220,9.4
297,89,0
297,90,65.3
297,100,73.9
297,110,81.8
297,120,89
297,130,95.9
297,140,102
297,150,107.6
297,160,112.6
146,89,0
146,90,47.3
146,100,53
146,110,58.3
146,120,63.4
146,130,67.9
146,140,71.9
146,150,75.6
146,160,79
146,170,82.1
146,180,84.9
146,190,87.6
146,200,89.9
146,210,92
146,220,93.8
700,89,0
700,90,166.7
700,100,188.6
700,110,208.8
700,120,227.4
700,130,244.8
700,140,260.5
700,150,274.7
700,160,287.6
701,89,0
701,90,256.7
701,100,290.5
701,110,321.4
701,120,350.2
701,130,377.1
701,140,401.2
701,150,423.4
701,160,443.1
549,89,0
549,90,177.5
549,100,198.9
549,110,218.9
549,120,237.7
549,130,254.8
549,140,270
549,150,283.7
549,160,296.6
549,170,308.1
549,180,318.7
549,190,328.6
549,200,337.2
549,210,345.1
549,220,352.1
300,89,0
300,90,108.8
300,100,123.1
300,110,136.3
300,120,148.4
300,130,159.8
300,140,170
300,150,179.3
300,160,187.7
552,89,0
552,90,277.4
552,100,311.2
552,110,342.5
552,120,372
552,130,398.5
552,140,422.3
552,150,443.8
552,160,464.1
552,170,482.1
552,180,498.7
552,190,513.9
552,200,527.7
552,210,539.8
552,220,551.1
299,89,0
299,90,261.1
299,100,295.4
299,110,326.9
299,120,356.2
299,130,383.4
299,140,408.2
299,150,430.4
299,160,450.8
703,89,0
703,90,444.2
703,100,502.6
703,110,556.2
703,120,605.8
703,130,652.3
703,140,694.1
703,150,732
703,160,766.4
555,89,0
555,90,485.4
555,100,544
555,110,598.8
555,120,650.3
555,130,696.8
555,140,738.4
555,150,776
555,160,811.2
555,170,842.8
555,180,871.7
555,190,898.7
555,200,922.3
555,210,943.8
555,220,963.2
302,89,0
302,90,444.2
302,100,502.6
302,110,556.2
302,120,605.8
302,130,652.3
302,140,694.1
302,150,732
302,160,766.4
304,89,0
304,160,0
304,161,1
155,89,0
155,200,0
155,201,1
303,89,0
303,110,0
303,111,1
303,160,1
303,161,0
154,89,0
154,110,0
154,111,1
154,200,1
154,201,0
150,89,0
150,90,485.4
150,100,544
150,110,598.8
150,120,650.3
150,130,696.8
150,140,738.4
150,150,776
150,160,811.2
150,170,842.8
150,180,871.7
150,190,898.7
150,200,922.3
150,210,943.8
150,220,963.2
147,89,0
147,90,331.2
147,100,370.9
147,110,408.4
147,120,443.5
147,130,475.1
147,140,503.6
147,150,529.2
147,160,553.3
147,170,574.9
147,180,594.5
147,190,612.8
147,200,628.9
147,210,643.7
147,220,656.8
144,89,0
144,90,94.6
144,100,106
144,110,116.7
144,120,126.7
144,130,135.8
144,140,143.9
144,150,151.2
144,160,158.1
144,170,164.2
144,180,169.9
144,190,175.1
144,200,179.7
144,210,183.9
144,220,187.7
143,89,0
143,90,4.6
143,100,5.2
143,130,6.7
143,140,7.1
143,190,8.6
143,220,9.2
93,69,0
592,69,0
592,70,0.00102
197,69,0
197,70,0.0015
842,69,0
842,70,0.00153
597,69,0
597,70,0.00153
194,69,0
194,70,0.0161
102,69,0
102,70,0.0015
750,69,0
750,70,0.01643
594,69,0
594,70,0.01643
593,69,0
593,70,0.02602
195,69,0
195,70,0.09799
99,69,0
99,70,0.0161
193,69,0
193,70,0.19598
751,69,0
751,70,0.37532
752,69,0
752,70,0.57815
596,69,0
596,70,0.57815
595,69,0
595,70,0.37532
101,69,0
101,70,0.24498
410,69,0
410,70,0.7
410,80,0.9
410,90,1
196,69,0
196,70,0.68593
100,69,0
100,70,0.58794
98,69,0
98,70,0.14699
97,69,0
97,70,0.001
836,69,0
836,70,0.8
836,80,1
836,90,1.1
186,69,0
186,70,0.9
186,80,1
186,90,1.2
415,69,0
415,70,1.1
415,90,1.5
103,69,0
103,70,1
94,69,0
94,70,1
94,90,1
94,91,0
590,69,0
590,70,1.3
590,80,1.6
590,90,1.8
746,69,0
746,70,11.8
746,80,14.1
746,90,16.2
412,69,0
412,70,11.6
412,80,13.8
412,90,15.8
191,69,0
191,70,1.3
191,90,1.7
841,69,0
841,70,1.2
841,80,1.5
841,90,1.7
91,69,0
91,70,1.2
91,90,1.6
838,69,0
838,70,13.2
838,80,15.6
838,90,17.9
837,69,0
837,70,21
837,80,24.8
837,90,28.3
745,69,0
745,70,18.7
745,80,22.3
745,90,25.6
587,69,0
587,70,14.3
587,80,16.7
587,90,18.9
586,69,0
586,70,22.6
586,80,26.4
586,90,30
411,69,0
411,70,105.8
411,80,125.9
411,90,144.6
189,69,0
189,70,85.2
189,80,99.3
189,90,113
188,69,0
188,70,14
188,90,18.6
88,69,0
88,70,13
88,80,15.3
88,90,17.5
414,69,0
414,70,176.3
414,80,209.8
414,90,240.9
187,69,0
187,70,170.4
187,80,198.6
187,90,226
839,69,0
839,70,302.2
839,80,357.5
839,90,407.8
747,69,0
747,70,270
747,80,321.5
747,90,369.1
748,69,0
748,70,416.1
748,80,495.1
748,90,568.6
588,69,0
588,70,326.3
588,80,380.4
588,90,432.9
840,69,0
840,70,465.6
840,80,550.5
840,90,628
413,69,0
413,70,422.9
413,80,503.5
413,90,578.2
90,69,0
90,70,197.3
90,80,233.3
90,90,266.2
589,69,0
589,70,502.8
589,80,585.8
589,90,666.8
749,69,0
749,70,719.5
749,80,856.5
749,90,983.5
416,69,0
416,70,719.5
416,80,856.5
416,90,983.5
190,69,0
190,70,596.4
190,80,695.2
190,90,791.2
591,69,0
591,70,869.5
591,80,1013.5
591,90,1153.4
192,69,0
192,70,869.5
192,80,1013.5
192,90,1153.4
96,69,0
96,91,0
96,92,1
95,69,0
95,90,0
95,91,1
95,92,0
92,69,0
92,70,805.2
92,80,952.4
92,90,1086.5
89,69,0
89,70,473.3
89,80,560
89,90,638.8
87,69,0
87,70,118.4
87,80,140
87,90,159.7
86,69,0
86,70,0.8
86,80,1
86,90,1.1
622,189,0
644,189,0
644,190,0.04762
645,189,0
645,190,0.14286
628,189,0
628,190,0.05
643,189,0
643,190,0.2381
627,189,0
627,190,0.2
642,189,0
642,190,0.57143
626,189,0
626,190,0.55
640,189,0
640,190,16.5
640,210,18.5
640,230,19.9
640,240,20.5
640,290,24
629,189,0
629,190,1
623,189,0
623,190,1
623,210,1
623,211,0
641,189,0
641,190,49.6
641,200,52.6
641,210,55.4
641,220,57.6
641,230,59.7
641,240,61.6
641,250,63.6
641,260,65.8
641,280,70
641,290,71.9
620,189,0
620,190,17.3
620,200,18.4
620,210,19.4
620,220,20.2
620,240,21.6
620,250,22.2
620,270,23.8
620,290,25.2
639,189,0
639,190,82.6
639,200,87.7
639,210,92.3
639,220,96
639,230,99.4
639,240,102.7
639,250,105.9
639,260,109.7
639,270,113.2
639,280,116.6
639,290,119.8
619,189,0
619,190,69.4
619,200,73.7
619,210,77.5
619,220,80.6
619,230,83.5
619,240,86.3
619,250,89
619,260,92.1
619,270,95.1
619,280,97.9
619,290,100.6
638,189,0
638,190,198.2
638,200,210.6
638,210,221.3
638,220,230.2
638,230,238.6
638,240,246.5
638,250,254.2
638,260,263.3
638,270,271.9
638,280,279.8
638,290,287.3
625,189,0
625,211,0
625,212,1
624,189,0
624,210,0
624,211,1
624,212,0
621,189,0
621,190,346.9
621,200,368.4
621,210,387.5
621,220,403
621,230,417.6
621,240,431.3
621,250,444.9
621,260,460.7
621,270,475.6
621,280,489.7
621,290,503
618,189,0
618,190,190.8
618,200,202.6
618,210,213.1
618,220,221.6
618,230,229.7
618,240,237.1
618,250,244.7
618,260,253.5
618,270,261.6
618,280,269.4
618,290,276.6
47,99,0
359,99,0
359,100,0.00195
274,99,0
274,100,0.00195
271,99,0
271,100,0.00214
250,99,0
250,100,0.002
341,99,0
341,100,0.0024
275,99,0
275,100,0.00234
276,99,0
276,100,0.00974
269,99,0
269,100,0.00955
251,99,0
251,100,0.0024
247,99,0
247,100,0.0022
252,99,0
252,100,0.01
245,99,0
245,100,0.0098
248,99,0
248,100,0.036
55,99,0
55,100,0.01761
272,99,0
272,100,0.09743
270,99,0
270,100,0.19486
54,99,0
54,100,0.1355
246,99,0
246,100,0.3656
266,99,0
266,100,0.6
266,120,0.8
266,130,0.8
266,140,0.9
266,150,0.9
266,160,1
266,170,1
266,180,1.1
266,190,1.1
266,200,1.2
266,230,1.2
266,240,1.3
249,99,0
249,100,0.572
357,99,0
357,100,0.7
357,120,0.9
357,130,0.9
357,150,1.1
357,160,1.1
357,170,1.2
357,180,1.2
357,190,1.3
357,200,1.3
357,210,1.4
357,240,1.4
357,250,1.5
334,99,0
334,100,0.7
334,110,0.7
334,140,1
334,150,1
334,160,1.1
334,170,1.1
334,180,1.2
334,200,1.2
334,210,1.3
334,230,1.3
334,240,1.4
273,99,0
273,100,0.682
356,99,0
356,100,0.6
356,110,0.7
356,120,0.7
356,130,0.8
356,140,0.8
356,150,0.9
356,160,0.9
356,170,1
356,180,1
356,190,1.1
356,210,1.1
356,220,1.2
356,260,1.2
356,270,1.3
337,99,0
337,100,0.6
337,110,0.7
337,120,0.7
337,140,0.9
337,150,0.9
337,160,1
337,170,1
337,180,1.1
337,200,1.1
337,210,1.2
337,240,1.2
337,250,1.3
353,99,0
353,100,0.6
353,130,0.9
353,140,0.9
353,150,1
353,160,1
353,170,1.1
353,180,1.1
353,190,1.2
353,210,1.2
353,220,1.3
353,250,1.3
353,260,1.4
239,99,0
239,100,0.6
239,130,0.9
239,140,0.9
239,150,1
239,160,1
239,170,1.1
239,190,1.1
239,200,1.2
239,220,1.2
239,230,1.3
239,260,1.3
239,270,1.4
240,99,0
240,100,0.8
240,120,1
240,130,1
240,150,1.2
240,160,1.2
240,170,1.3
240,180,1.3
240,190,1.4
240,200,1.4
240,210,1.5
240,230,1.5
240,240,1.6
240,280,1.6
240,290,1.7
338,99,0
338,100,0.7
338,130,1
338,140,1
338,160,1.2
338,170,1.2
338,180,1.3
338,200,1.3
338,210,1.4
338,230,1.4
338,240,1.5
338,270,1.5
338,280,1.6
267,99,0
267,100,0.7
267,140,1.1
267,150,1.1
267,170,1.3
267,190,1.3
267,200,1.4
267,210,1.4
267,220,1.5
267,250,1.5
267,260,1.6
263,99,0
263,100,0.7
263,120,0.9
263,130,0.9
263,140,1
263,150,1
263,160,1.1
263,170,1.1
263,180,1.2
263,190,1.2
263,200,1.3
263,220,1.3
263,230,1.4
263,270,1.4
263,280,1.5
236,99,0
236,100,0.7
236,120,0.9
236,130,0.9
236,150,1.1
236,160,1.1
236,170,1.2
236,180,1.2
236,190,1.3
236,210,1.3
236,220,1.4
236,250,1.4
236,260,1.5
53,99,0
53,100,0.47425
52,99,0
52,100,0.30488
51,99,0
51,100,0.06775
351,99,0
351,100,2.8
351,120,3.6
351,130,3.9
351,140,4.1
351,150,4.4
351,160,4.6
351,170,4.9
351,180,5
351,200,5.4
351,220,5.6
351,230,5.8
351,260,6.1
351,270,6.1
351,290,6.3
358,99,0
358,100,2.9
358,120,3.7
358,130,4
358,140,4.2
358,150,4.5
358,160,4.7
358,170,5
358,180,5.2
358,190,5.3
358,200,5.5
358,210,5.6
358,220,5.8
358,270,6.3
358,280,6.3
358,290,6.4
332,99,0
332,100,2.9
332,120,3.7
332,130,4
332,140,4.2
332,160,4.8
332,190,5.4
332,200,5.5
332,210,5.7
332,280,6.4
340,99,0
340,100,3
340,110,3.4
340,120,3.7
340,130,4.1
340,140,4.3
340,160,4.9
340,190,5.5
340,200,5.6
340,210,5.8
340,230,6
340,240,6.2
340,260,6.4
340,270,6.4
340,290,6.6
261,99,0
261,100,3
261,120,3.8
261,140,4.4
261,150,4.6
261,160,4.9
261,190,5.5
261,200,5.6
261,210,5.8
261,220,5.9
261,230,6.1
261,270,6.5
261,280,6.5
261,290,6.6
335,99,0
335,100,10.7
335,110,12.2
335,120,13.5
335,130,14.6
335,140,15.6
335,150,16.5
335,160,17.5
335,170,18.3
335,190,19.7
335,200,20.2
335,210,20.8
335,220,21.3
335,230,21.7
335,240,22.2
335,250,22.5
335,260,22.9
335,270,23.2
335,280,23.4
335,290,23.7
242,99,0
242,100,3.2
242,120,4
242,150,4.9
242,160,5.1
242,170,5.4
242,180,5.6
242,190,5.7
242,210,6.1
242,230,6.3
242,240,6.5
242,270,6.8
242,280,6.8
242,290,6.9
268,99,0
268,100,3.1
268,120,3.9
268,140,4.5
268,150,4.7
268,160,5
268,200,5.8
268,210,5.9
268,220,6.1
268,280,6.7
234,99,0
234,100,3.1
234,120,3.9
234,150,4.8
234,160,5
234,170,5.3
234,180,5.5
234,190,5.6
234,210,6
234,290,6.8
56,99,0
56,100,1
48,99,0
48,100,1
48,120,1
48,121,0
354,99,0
354,100,29.1
354,110,33
354,120,36.5
354,130,39.5
354,140,42.2
354,150,44.7
354,160,47.3
354,170,49.5
354,180,51.5
354,190,53.2
354,200,54.8
354,210,56.3
354,220,57.6
354,240,60
354,250,61
354,260,61.9
354,280,63.5
354,290,64.1
264,99,0
264,100,31
264,110,35.1
264,120,38.7
264,130,41.8
264,140,44.5
264,150,47.3
264,160,49.9
264,170,52.2
264,180,54.2
264,190,56
264,210,59.2
264,220,60.6
264,240,63
264,260,65
264,270,65.9
264,290,67.3
237,99,0
237,100,11.5
237,110,13
237,120,14.3
237,140,16.5
237,150,17.5
237,170,19.3
237,190,20.7
237,210,21.9
237,230,22.9
237,250,23.7
237,290,24.9
45,99,0
45,100,11.3
45,110,12.6
45,130,14.8
45,140,15.8
352,99,0
352,100,58.1
352,110,66
352,120,73.1
352,130,79.1
352,140,84.4
352,150,89.5
352,160,94.5
352,170,99.1
352,180,103.1
352,190,106.5
352,200,109.6
352,210,112.5
352,220,115.2
352,230,117.7
352,240,119.9
352,250,122
352,260,123.8
352,270,125.4
352,280,126.9
352,290,128.2
262,99,0
262,100,62
262,110,70.1
262,120,77.4
262,130,83.5
262,140,89.1
262,150,94.6
262,160,99.8
262,170,104.4
262,180,108.4
262,190,112
262,200,115.3
262,210,118.4
262,220,121.1
262,230,123.7
262,240,126
262,250,128.1
262,260,130
262,270,131.7
262,280,133.2
262,290,134.5
333,99,0
333,100,109.1
333,110,123.9
333,120,137.1
333,130,148.4
333,140,158.3
333,150,167.9
333,160,177.4
333,170,185.9
333,180,193.4
333,190,199.8
333,200,205.6
333,210,211.1
333,220,216.2
333,230,220.8
333,240,225
333,250,228.9
333,260,232.3
333,270,235.3
333,280,238.1
333,290,240.5
336,99,0
336,100,170.7
336,110,193.8
336,120,214.5
336,130,232.1
336,140,247.7
336,150,262.8
336,160,277.3
336,170,290.9
336,180,302.4
336,190,312.5
336,200,322
336,210,330.2
336,220,338.2
336,230,345.6
336,240,351.9
336,250,358
336,260,363.3
336,270,368.2
336,280,372.6
336,290,376.2
238,99,0
238,100,181.9
238,110,205.9
238,120,227.1
238,130,245.3
238,150,277.5
238,160,293.2
238,170,306.4
238,180,318.3
238,190,328.8
238,200,338.4
238,210,347.3
238,220,355.6
238,230,363.1
238,240,369.9
238,250,376
238,260,381.5
238,270,386.7
238,280,391
238,290,394.7
235,99,0
235,100,116.3
235,110,131.6
235,120,145.2
235,130,156.7
235,150,177.5
235,160,187.3
235,170,196
235,180,203.5
235,190,210.1
235,200,216.3
235,210,222.1
235,220,227.3
235,230,232.1
235,240,236.5
235,250,240.3
235,260,243.9
235,270,247.1
235,280,249.9
235,290,252.4
44,99,0
44,100,87
44,110,96.6
44,120,105.7
44,130,113.9
44,140,121.3
355,99,0
355,100,203.6
355,110,231.1
355,120,255.6
355,130,276.8
355,140,295.4
355,150,313.2
355,160,331.1
355,170,346.7
355,180,360.8
355,190,372.7
355,200,383.6
355,210,393.9
355,220,403.2
355,230,411.8
355,240,419.7
355,250,426.9
355,260,433.2
355,270,438.9
355,280,444.2
355,290,448.5
339,99,0
339,100,298.4
339,110,338.8
339,120,374.9
339,130,405.9
339,140,433
339,150,459.3
339,160,485.2
339,170,508.5
339,180,528.9
339,190,546.5
339,200,562.5
339,210,577.5
339,220,591.3
339,230,603.9
339,240,615.4
339,250,626
